member_id,snapshot_date,tier,monthly_contribution_kes,days_since_last_contribution,days_since_last_contribution,withdrawal_surge_index,withdrawal_surge_index,par30_breach_flag,default_propensity_score,risk_band,constraint_override,constraint_override_reason,loan_outstanding_kes,loan_outstanding_kes,savings_balance_kes,savings_balance_kes,exposure_pct
STM00001,2023-01-01,Premium,12229.93,17.0,17.0,1.49,1.49,0,0.2,LOW,False,,817616.09,817616.09,489043.14,489043.14,0.4199313770676499
STM00001,2023-02-01,Premium,12359.99,14.0,14.0,1.46,1.46,0,0.1,LOW,False,,1080698.86,1080698.86,500115.92,500115.92,0.4199313770676499
STM00001,2023-03-01,Premium,13564.05,7.0,7.0,0.82,0.82,0,0.1,LOW,False,,669418.04,669418.04,511505.28,511505.28,0.4199313770676499
STM00001,2023-04-01,Premium,11734.84,15.0,15.0,1.36,1.36,0,0.2,LOW,False,,965403.42,965403.42,521427.65,521427.65,0.4199313770676499
STM00001,2023-05-01,Premium,1675251.92,21.0,21.0,0.43,0.43,0,0.0,LOW,False,,447860.62,447860.62,533100.4,533100.4,0.4199313770676499
STM00001,2023-06-01,Premium,12980.53,20.0,20.0,1.18,1.18,0,0.3,LOW,False,,773414.23,773414.23,541945.31,541945.31,0.4199313770676499
STM00001,2023-07-01,Premium,13517.96,3.0,3.0,1.16,1.16,0,0.1,LOW,False,,657127.32,657127.32,550419.64,550419.64,0.4199313770676499
STM00001,2023-08-01,Premium,12833.56,18.0,18.0,0.43,0.43,0,0.2,LOW,False,,587800.96,587800.96,562318.77,562318.77,0.4199313770676499
STM00001,2023-09-01,Premium,11048.07,22.0,22.0,0.77,0.77,0,0.2,LOW,False,,1103623.94,1103623.94,569531.33,569531.33,0.4199313770676499
STM00001,2023-10-01,Premium,11412.6,25.0,25.0,1.17,1.17,0,0.6,LOW,False,,480009.4,480009.4,575039.8,575039.8,0.4199313770676499
STM00001,2023-11-01,Premium,10805.18,26.0,26.0,1.24,1.24,0,2.9,LOW,False,,421013.71,421013.71,138547.75,138547.75,0.4199313770676499
STM00001,2023-12-01,Premium,11948.48,23.0,23.0,1.75,1.75,0,1.4,LOW,False,,434567.04,434567.04,138547.75,138547.75,0.4199313770676499
STM00001,2024-01-01,Premium,10919.02,17.0,17.0,1.69,1.69,0,0.8,LOW,False,,597454.15,597454.15,595497.32,595497.32,0.4199313770676499
STM00001,2024-02-01,Premium,12603.55,11.0,11.0,1.66,1.66,0,0.1,LOW,False,,1128100.46,1128100.46,606320.76,606320.76,0.4199313770676499
